mdate;Rf;MktRf;SMB;HML
196905;0,00314;0,06964;-0,0238;0,02079
196906;0,00397;-0,02594;0,0557;0,02644
196907;0,00447;-0,03159;0,02688;-0,01617
196908;0,00487;0,06091;-0,01421;-0,01921
196909;0,00507;-0,02105;0,05353;0,01709
196910;0,00529;0,04366;0,07108;-0,02547
196911;0,00585;0,04284;0,00727;0,01359
196912;0,00771;-0,0591;-0,00108;0,00148
197001;0,00735;-0,06369;0,02492;0,02572
197002;0,00739;-0,02556;0,00492;0,0192
197003;0,00778;-0,0012;-0,00049;0,0494
197004;0,00784;-0,0538;0,00193;0,00916
197005;0,00787;-0,09149;-0,01363;0,03368
197006;0,00777;-0,042;0,03997;-0,00195
197007;0,00751;0,059;0,00233;-0,0064
197008;0,00707;0,0052;0,0056;-0,00869
197009;0,00739;-0,02845;-0,00092;0,00585
197010;0,00717;-0,02238;0,0059;0,00636
197011;0,00661;-0,03703;0,01009;0,00149
197012;0,00679;-0,03203;0,03408;-0,00731
197101;0,00618;0,12547;-0,02111;0,01194
197102;0,00596;0,03009;-0,01012;0,00285
197103;0,00613;0,00643;0,00902;-0,01743
197104;0,00501;-0,06152;0,03436;-0,01669
197105;0,00413;0,01455;-0,00689;-0,007
197106;0,0053;-0,01441;0,01285;-0,02544
197107;0,00596;0,03806;0,00991;-0,00109
197108;0,00556;-0,04093;0,04815;-0,02313
197109;0,00592;-0,04295;0,00348;-0,00278
197110;0,0059;-0,06631;0,03803;-0,01873
197111;0,00436;-0,00411;-0,01139;0,0242
197112;0,00559;0,05479;-0,02585;0,01721
197201;0,00403;0,04275;-0,00425;0,00696
197202;0,00371;0,07376;-0,00756;0,03761
197203;0,00358;0,03965;0,0089;0,00601
197204;0,00357;-0,02495;0,03665;-0,02975
197205;0,00327;0,0255;0,0165;-0,00009
197206;0,00335;-0,01483;0,0235;-0,00077
197207;0,00323;0,06114;-0,03376;-0,00593
197208;0,00354;-0,01452;0,04273;0,01869
197209;0,00411;-0,03608;0,01253;-0,01001
197210;0,00483;-0,02804;0,00701;-0,00488
197211;0,00574;0,006;0,02657;0,03461
197212;0,00689;-0,01923;0,02165;0,02247
197301;0,00562;0,04481;0,01777;-0,02175
197302;0,00526;-0,02182;0,02582;0,00278
197303;0,00695;0,04909;0,00651;0,01664
197304;0,00912;-0,05314;0,04654;-0,00218
197305;0,00926;-0,10214;0,01105;-0,00109
197306;0,00981;-0,01376;-0,00987;0,00412
197307;0,01045;-0,07222;0,00214;0,00298
197308;0,00959;0,00304;-0,00293;-0,02189
197309;0,01046;-0,02569;-0,01008;0,00266
197310;0,01037;0,05614;-0,02167;0,04821
197311;0,00955;-0,11093;0,0586;0,0066
197312;0,01048;-0,02704;0,00696;0,02221
197401;0,00925;0,05604;-0,02655;0,0142
197402;0,00801;-0,069;0,03576;-0,01041
197403;0,00889;-0,00425;-0,01857;0,01381
197404;0,00742;0,03219;-0,03128;0,03489
197405;0,00656;-0,03949;0,02836;0,02209
197406;0,00722;-0,03262;-0,00689;0,01036
