mdate;Rf;MktRf;SMB;HML
200511;0,00182;0,04248;-0,01875;0,00375
200512;0,00197;0,03581;-0,01691;-0,03358
200601;0,00195;0,05765;0,00302;-0,00502
200602;0,00201;0,03158;0,02571;0,02558
200603;0,00215;0,02948;-0,01114;0,014
200604;0,00217;0,00547;0,02459;0,01336
200605;0,0022;-0,05485;-0,02749;-0,00068
200606;0,00234;-0,00727;-0,00904;-0,01769
200607;0,0024;0,00219;0,00386;0,03657
200608;0,00253;0,02395;-0,02774;-0,00297
200609;0,00258;0,02915;-0,00464;-0,00976
200610;0,00273;0,03154;-0,01623;0,03531
200611;0,00279;0,00748;-0,00639;0,00057
200612;0,00297;0,04418;-0,00163;-0,02832
200701;0,00295;0,02904;0,05149;-0,0318
200702;0,00298;-0,00798;0,01415;0,00972
200703;0,00313;0,03142;0,01206;0,04258
200704;0,00315;0,05417;0,00365;0,01608
200705;0,00319;0,04584;-0,04789;0,03133
200706;0,00334;0,00148;-0,01809;-0,01263
200707;0,00335;-0,03793;0,00382;0,00149
200708;0,0035;-0,0055;-0,06033;0,03288
200709;0,00359;0,01649;-0,02224;-0,00439
200710;0,00344;0,02766;-0,01491;0,01152
200711;0,00343;-0,03453;-0,05504;-0,00007
200712;0,00385;0,00782;-0,00209;-0,01023
200801;0,0034;-0,12999;0,00603;0,01242
200802;0,0034;-0,01267;0,02464;0,01449
200803;0,0035;-0,02663;-0,00874;0,0189
200804;0,00355;0,04836;-0,0149;0,01746
200805;0,00356;0,01766;-0,00434;-0,00221
200806;0,00363;-0,08878;0,03204;0,00806
200807;0,00363;-0,0083;-0,00457;-0,02626
200808;0,00364;-0,00672;0,01571;-0,00201
200809;0,00379;-0,09028;-0,06666;0,00334
200810;0,00398;-0,12597;-0,02753;-0,00997
200811;0,00319;-0,10714;0,03156;-0,0295
200812;0,00252;0,02108;0,01027;0,04159
200901;0,00176;-0,08389;0,03539;-0,01632
200902;0,00134;-0,11208;0,03492;0,02552
200903;0,00104;0,05626;-0,03586;-0,00778
200904;0,00084;0,14237;-0,05306;0,00826
200905;0,00073;0,034;0,043;-0,02341
200906;0,00074;-0,01411;0,00573;0,03457
200907;0,00048;0,09117;-0,05304;0,01505
200908;0,00038;0,00261;0,02608;0,12931
200909;0,00034;0,04191;0,0049;0,03612
200910;0,00032;-0,04852;0,03474;-0,00493
200911;0,00032;0,03399;0,00843;-0,00651
200912;0,00037;0,04689;-0,03259;0,00151
201001;0,00033;-0,04544;0,06009;0,01667
201002;0,00032;-0,00422;0,05255;-0,02704
201003;0,00031;0,09103;-0,05259;0,04454
201004;0,0003;0,00275;-0,01326;0,03809
201005;0,00031;-0,02725;0,00966;-0,02254
201006;0,00034;0,00317;0,00921;0,00271
201007;0,00048;0,02967;-0,0094;0,03616
201008;0,00049;-0,03023;0,02968;0,00465
201009;0,00047;0,06035;-0,04904;0,01782
201010;0,0006;0,0578;-0,02228;0,05
201011;0,00066;0,01284;-0,03966;0,04166
201012;0,00066;0,0363;0,00949;0,01367
201101;0,00064;0,01816;0,0301;0,00109
201102;0,00072;0,0204;0,0193;-0,00751
201103;0,00073;-0,01948;0,00986;-0,01585
201104;0,00091;0,05164;-0,04753;0,01898
201105;0,001;-0,01888;0,0234;0,00595
201106;0,00103;0,00745;-0,0601;0,04986
201107;0,00114;-0,03127;-0,01114;-0,02433
201108;0,00111;-0,16476;0,08516;-0,01476
201109;0,00108;-0,06502;0,02111;0,01283
201110;0,00109;0,10983;-0,07591;-0,04315
201111;0,00097;-0,01702;-0,03799;0,01032
201112;0,00091;-0,02942;0,01846;-0,00364
201201;0,00066;0,09727;-0,02599;-0,04991
201202;0,0005;0,05571;0,00415;-0,02511
201203;0,00037;0,01074;0,00313;0,01141
201204;0,0003;-0,01264;0,01687;-0,01304
201205;0,00028;-0,06648;0,02974;0,01355
201206;0,00032;0,01095;-0,03777;0,04714
201207;0,00018;0,0477;-0,03515;0,00356
201208;0,00011;0,02215;-0,01854;-0,00616
201209;0,0001;0,03073;-0,00863;-0,00928
201210;0,00009;0,01493;-0,01024;0,00136
201211;0,00009;0,02207;-0,02857;0,00257
201212;0,00009;0,02476;-0,01239;0,01938
201301;0,00009;0,03045;0,04171;0,03724
201302;0,0001;0,00171;0,02024;0,01269
201303;0,0001;0,00176;-0,03382;-0,03347
201304;0,0001;0,01072;-0,00088;0,0097
201305;0,00009;0,04938;-0,02662;0,02671
201306;0,0001;-0,04092;0,01254;-0,04581
201307;0,00011;0,03991;-0,02618;0,05063
201308;0,00011;-0,00953;0,02945;0,00321
201309;0,00011;0,05043;-0,00535;0,01004
201310;0,00011;0,05261;-0,00045;0,0095
201311;0,00011;0,03608;-0,01775;0,00384
201312;0,00017;0,0148;-0,02899;-0,01084
201401;0,00018;-0,02475;0,05996;-0,00513
201402;0,00018;0,03829;-0,01383;0,0036
201403;0,00019;-0,00903;-0,00567;0,00665
201404;0,00021;0,00114;-0,00832;0,01366
201405;0,00022;0,03411;0,00721;0,03177
201406;0,00012;-0,0079;0,00474;0,02099
201407;0,00008;-0,04375;0,01265;0,00232
201408;0,00007;0,0042;-0,00848;0,00294
201409;0,00002;-0,00624;-0,02582;-0,00706
201410;0,00001;-0,00877;-0,02405;-0,0101
201411;0,00001;0,06431;-0,02871;-0,02013
201412;0,00002;-0,00602;0,01673;0,01175
201501;0,00001;0,08375;-0,02208;-0,01087
201502;0;0,06574;0,00739;0,01517
201503;-0,00001;0,04529;-0,00731;0,0167
201504;-0,00003;-0,03547;0,02359;-0,00792
201505;-0,00004;0,004;0,02576;-0,01093
201506;-0,00005;-0,03682;0,01426;0,00619
201507;-0,00006;0,02485;0,02374;-0,00882
201508;-0,00008;-0,0782;0,02467;0,00387
201509;-0,00009;-0,05821;0,04957;-0,0581
201510;-0,0001;0,11154;-0,02961;-0,01991
201511;-0,00012;0,04363;-0,00083;-0,01025
201512;-0,00016;-0,04072;0,0555;-0,00701
201601;-0,00018;-0,08292;0,02162;-0,00879
201602;-0,00021;-0,0242;0,01251;-0,00116
201603;-0,00026;0,04888;-0,01138;0,01171
201604;-0,00028;0,00864;-0,0006;0,03955
201605;-0,00029;0,02139;0,00307;-0,00562
201606;-0,0003;-0,04875;0,00889;-0,02062
